document_id,clean_text,sentiment
44,well long time release whereas went movie weekend witness massy action high end graphic powerful casting incredible bgms associated hindu epic mahabharat yeah movie disappointed touched necessary point make massy audience movie classy one best part movie mahabharat sequence cinematography boosted bgms wow know story mahabharata surely get goosebump scene acting performance amitabh bacchan top notch sure really beast inside whole movie certainly overshadowed leading character inside movie prabhas played role decently first half little bit lack writing prabhas character way fought nd half showcased brilliant acting skill course twist climax scene top notch delivery deepika padukon character extremely average though mean potential character utilized sure lack emotion easily noticeable high power character kamal hasan character extremely short somehow impactful could make scary along commander played sashwat chatterjee music good high end graphic surely utilized properly amount invested hi tech gadget easily noticeable say somehow looked attractive according time jump editing somehow could done sharply especially first half hr movie might feel lengthy audience consider screenplay course engaging hr new age cinema overall complete family movie definitely wait next installment side star,positive
45,film masterpiece full entertainer leave negative review aside must watch film sculpted beautifully director actor lived role eagerly waiting second part find reason one wait next part indian filmography moving evolving next phase height sure see kind brilliance future graphic move smooth butter less compared hollywood kudos caption ship entire crew masterpiece,positive
46,movie redeeming quality particularly vfx depiction dystopian world visually impressive however positive end film suffers excessive overacting dialogue painfully weak making difficult connect character story feel forced lacking natural progression depth moreover set prop often appear cheap unconvincing looking outright plastic noticeable lack originality set character design detracts experience despite best effort enjoy movie subpar dialogue poorly developed character made nearly impossible movie ultimately fails deliver coherent engaging narrative leaving disappointed,neutral
47,last min good also action part rest hr min totally disaster proper story forcefully comedy scene never get laughter even smile prabhas last good bahubali deepika cant anything dont get good screen play reference mahabharat infact also forcefully created childish sci fi movie better white gun omg joke complex also big joke amitabh sir acted good power also impact fully showing good action scene without amitabh sir whole movie trash please dont make type movie hollywood movie maker laughing corner wathching,negative
48,film absolutely good everything vfx shot story line twist everything top line nagashwin vision made perfect flaw understand thing course mahabharat portion made movie amazing amitabh bachchan played role simply spectacular stealing every scene concept blending ancient history futuristic dystopia awesome sometimes movie feel slow bit allows u connect character explore motif prabhas delivered solid performance kalki deepika acting everyone else acting outstanding including kamal hassan must watch film,positive
49,firstly appreciate editing vfx team especially editing sequence color full movie right place right color secondly good story story telling director use heroin hero india joke part really huge star play perfect character job well young character amitabh bachchan sir thirdly totally different sci fi movie based hindu ancient good use hindu ancient sci fi favorite character movie bujjhi come point story mahavarat complex understand religion movie lover also total hour minute movie totally look like trailer nd part core story st part good thing greater bad thing use perfect story part give star,positive
50,huge disappointment story bad editing spoiler,negative
51,awesome action sequence really enjoyed rgv rajamouli cameo good character equal importance movie prabhas characterization good disha patani make good partner next part kamal hasan villain hard one beat coming movie amitabh action sequence different planet deepika acting skill good anna ben energetic character vd cameo good impact next part well wish see dulquer coming part also bujji point transform keerthi suresh humanoid look great brhamanandam great,positive
52,vishnu jesus christ film showed atrocity kaliyug show genocide robbery destruction caused turk european india liked film except point cringe forced try hard comedy cringe worthy english word line accent set design character design prop feel childish forgiven considering budget next part focus story action fx please avoid bad comedy unnecessary english hard watch screen fx good bad one forgiven due budget ashwatthama best character karna strong stronger arjun shown film source kurukshetra war another battle called virat battle karna team people stronger karna arjun alone divine chariot hanuman flag krishna yet arjun defeated also karna hero good person straight one villain mahabharat insulted pandavas wife calling prostitute supported publicly made nude killed arjun son cheating retreated came defending duryodhan gandarvas anyway ending well done scene kurukshetra battle best action good overall movie mostly good though perfect hope next part better director listen criticism many people saying,neutral
53,dose really worth hype honest big course better brahmastra adipurush believe want st part nothing gon na happen part total story though making decision easy mentioning positive negative positive graphic yes vfx good visuals really good amitabh bacchan acting strength best part movie brings story movie kamaal hassan cameo roll really looked like deadly villain vision appreciated counting fact indian film negative slow feel boring point want movie end unnecessary character help main plot comedy absolutely zero humor believe one laughed theatre lengthy main plot minute everything preserved part two nothing delivered part justify hype scene vfx looked mediocre,neutral
54,nag ashwin created nice fusion mythology science fiction world story telling even though feel fragmented beginning becomes nice flowing fusion movie progress around hour movie feel like drag required build story fight sequence use mad max type world look like imitation distinct indian attribute heroism larger life action heroic two main protagonist movie hollywood probably ever match casting amitabh bachchan ashwatthama excellent prabhas look stunning hero one else indian cinema pull role like cudos nag ashwin come little experience pull story well real treat prabhas fan wait next instalment,positive
55,big saviour spoiler,positive
56,prabhas latest film kalki nothing short cinematic marvel transcends boundary conventional storytelling epic saga directed visionary filmmaker nag ashwin masterfully blend mythology action drama create mesmerizing experience audience film set alternate reality world mythology futuristic technology collide creating setting awe inspiring thought provoking plot revolves around legendary mythological character like aswathama krishna find complex futuristic world modern ai technology advanced vehicle mankind last hope impending doom movie brilliantly showcase struggle protect world guided supreme god hinting theme destiny duty eternal battle good evil truly set kalki apart audacity dream big impeccable execution cgi visual effect nothing short breathtaking transporting audience vividly realized universe blur line reality fantasy every frame testament painstaking effort creativity gone world building creating visually stunning backdrop complement rich narrative,positive
57,initially inclined rate kalki ad six star powerful performance amitabh bachchan deepika padukone ultimately push film seven delivery coupled visually stunning portrayal mahabharata film standout feature clear say prabhas delivered poor performance asked director fault lie director either failed recognize prabhas true potential simply challenge enough prabhas outstanding baahubali many u always baahubali want see role capture commanding screen presence ability win heart however rest film felt weak never quite reaching wow moment seemed promise like prolonged attempt creating single grand spectacle broken smaller less impactful segment like rollercoaster designed child enough ups down never kind thrill make heart skip beat take breath away come india rich history mythology represent well screen rest world seems better job showcasing mythology going wrong,positive
58,worst movie ever seen nobody waste money time dont know people giving star review super slow nonsensical movie god know maker thinking making nothing wrong making movie based hindu scripture twisting soo much advertising name kalki completely wrong movie dont story line based cameo made rd class movie understand obsession sequel sequel also turn slow tortoise take least part complete,negative
59,kalki ad film cinematic symphony seamlessly blend epic grandeur indian mythology dazzling spectacle futuristic science fiction typical sci fi action flick profound exploration destiny sacrifice eternal struggle good evil set backdrop dystopian future film masterfully weave together ancient indian folklore cutting edge visual effect creating world familiar utterly alien action sequence breathtaking mesmerizing blend high octane choreography cgi wizardry film shy away showcasing sheer scale scope vision leaving audience awestruck sheer ambition kalki ad visual feast story resonates deeply human spirit exploring theme hope courage enduring power faith film character complex nuanced motivation struggle making journey captivating film greatest achievement lie ability seamlessly blend fantastical real creating world feel familiar extraordinary film transcends genre language speaking universal theme resonate within u kalki ad cinematic experience unlike testament power indian filmmaking bold vision future film stay long credit roll leaving pondering nature destiny power hope world brink,positive
60,mahabharata star war sci fi baby would kalki ad except baby sometimes throw tantrum always tell adorable annoying movie start like rush nowhere first half could double cure insomnia stick around treated second half suddenly remembers supposed epic visuals oh spicy extra masala dosa enough cgi make even hollywood jealous dialogue let say seen convincing line whatsapp forward cast mixed bag amitabh bachchan still rock like pro prabhas best look like know going deepika deepika thing sci fi element well indian pizza ketchup strangely familiar also bit sprinkle mahabharata keep desi audience hooked whole lot wait seen star war moment keep guessing end kalki ad like experimental dish mom make bored got many ingredient work still going eat well mom cooking expect leave table entirely satisfied,positive
61,pro maybe visuals mahabharata scene hardly minute combined brave attempt team touching dystopian futuristic setup connecting mythology amitabh role role got decent justice writing cameo nothing else come mind trust want add list wanted like film watching theatre con shall start plot know root many sub plot justice connect character even single impressive scene maker even try impress anywhere writing threat tension anywhere conflict less nonstop action fed point know antagonist want least forget protagonist want protagonist movie even single faceoff scene antagonist v opposite team since protagonist bearing movie hour show part ii mean premium paid watch fir part go bottom line get sci fi genre pointless sometimes rule regulation clearly defined maker show anything audience supposed accept believe without questioning least try bring novelty writing get connect character try impress audience writing instead grand visuals bear movie wallpaperistic visuals junkie,negative
62,kalki ad helmed nag ashwin ambitious project made whopping budget crore rupee scene draw heavy inspiration hollywood blockbuster like dune mad max fury road star war core theme based mahabharata monumental character amitabh bachchan prof biggest megastar india ever produced shining like bright star kamal hassan excels despite limited screen time deepika prabhas apt role bengali pride saswata chatterjee demonstrates one india finest actor rest cast also play role aptly background music enthralling screenplay engaging however editing could crisper vfx cgi film top notch match international standard masterpiece clich word call film masterpiece without doubt best sci fi film india produced date go watch theater possible experience imax pvr pxl,positive
63,good movie nice vision better kfg prabhas starrer big budget film love whole mythology based universe hope carry something meaningful cohesive coming movie acting overall good everyone barring prabhas comedy scene pure cringe action scene ok wish signed better lead movie understand movie maker obsession prabhas remember movie acting left impact including bahubali series special effect good screenplay ok nd half better first overall good climax setting kalki universe watched netflix would better enjoyed better big screen,positive
64,kalki visually stunning narratively ambitious film push boundary contemporary indian cinema directed nag ashwin film star prabhas deepika padukone amitabh bachchan whose performance anchor sprawling sci fi epic set dystopian future kalki explores theme technology power rebellion plot follows titular character kalki prabhas navigates world controlled oppressive regime deepika padukone character add emotional depth amitabh bachchan brings gravitas role wise mentor film production design nothing short spectacular creating believable futuristic world filled intricate detail cutting edge technology special effect top notch seamlessly blending cgi live action create breathtaking visuals nag ashwin direction confident assured skillfully balancing action packed sequence moment introspection character development screenplay occasionally dense thought provoking layered rewarding attentive viewer complex narrative soundtrack rahman enhances film epic scope,positive
65,wonderful story beautiful top notch vfx great action set piece kalki unable rise full glory due draggy first half unnecessary comedy cameo meant fan service make screenplay weak coupled predictable story beat throughout amazing amitha bachchan characterization arguably saving grace film deepika prabhas suffers form characterisation despite still elevate material reminds much recent brahmastra good potential wasted weak screenplay looking forward topart improve writing,positive
66,movie take inspiration classic hollywood film see influence integral part overall creative approach genuinely look forward upcoming project surpassing expectation movie truly unmissable initial part try make prabhas funny come across bit awkward forced fight sequence inclusion character mahabharata incredibly well executed true source material opinion would great creator could ensure stay authentic mahabharata infuse character indian desi cultural reference,positive
67,dont know saw feel bad acting first shut slow fight show indian audience understand concept fighting also wrong called indian masala south indian movie sound boxing flying villain effect expecting movie blow mind instead left mixed feeling everything little sprinkle good acting comedy wont help movie kalki hope second part better combining indian mythology dystopian society felt like copying mad max really adding fight sequence beat bass music adding layer cheesy acting actor show really connect emotionally,neutral
68,giving kalki one star solely presence amitabh bachchan deepika padukone cast member managed bring semblance quality film unfortunately prabhas performance major letdown absolutely effort shown throughout movie every time appeared screen cringeworthy hard watch could done much script overall vision potential completely wasted redeeming part film last scene bearable overall frustrating experience could much,negative
69,prabhas latest film kalki nothing short cinematic marvel transcends boundary conventional storytelling epic saga directed visionary filmmaker nag ashwin masterfully blend mythology action drama create mesmerizing experience audience moment film begin captivates stunning visuals intricate set design transporting viewer world ancient legend modern aesthetic seamlessly converge attention detail production design commendable showcasing meticulous effort entire creative team prabhas titular role kalki delivers performance powerful nuanced portrayal mythological hero imbued sense grandeur gravitas make every scene truly unforgettable physical transformation underwent role remarkable adding layer authenticity character supporting cast including leading lady deepika padukone also shine brightly deepika portrayal character brings depth emotional resonance narrative providing perfect counterbalance prabhas intensity chemistry two lead palpable add layer romantic allure epic tale screenplay kalki another standout element weaving together complex theme good versus evil destiny redemption dialogue profound poetic reflecting film mythological root remaining accessible contemporary audience one overlook film breathtaking action sequence choreographed precision flair scene visually spectacular also integral storytelling enhancing overall impact narrative use cutting edge visual effect elevates film making mythical element come alive screen musical score rahman nothing short masterpiece composition perfectly complement film tone enhancing emotional dramatic beat story track resonates audience leaving lasting impression long credit roll conclusion kalki extraordinary film showcase best indian cinema testament talent dedication everyone involved creation cast crew production team prabhas proven one revered actor industry delivering performance remembered year come kalki movie experience missed,positive
70,kalki flawed yet gripping journey mythology spoiler,positive
71,total waste time money spoiler,negative
72,excellent movie barring scene first half good attempt blend mahabharat plus sci fi plus dystopian world first min pre interval portion first half complete second half spectacular bad prabhas intro portion slow lethargic miss animation episode really good first may carried similar note somehow inconsistent approach could seen line telugu prabhas comic timing good dkrector opted cringe lethargic approach characterization however scene second half prabhas looked good overall inconsistent agree reviewer baradwaj rangan first half sluggish even give allowance world built see much new tension urgency sense scene building towards something exist individual standalone bit disjointed feel maybe commercial decision screenplay try feel casual epic comic dramatic mix always work second half pick non stop action sequence finally kalki take least level exciting video game best stretch fight bhairava ashwathama showcase theme film beautifully bhairava technology hologram ashwathama brute strength traditional action move kalki certainly towering technical achievement wished emotional achievement well,positive
73,honest watched trailer seeing film expectation extremely low anticipated poor vfx confusing storyline overhyped character true expectation first half delivered exactly slow moving filled scene felt unnecessarily dragged action sequence overly long prabhas comedic portrayal bhairava quite hit mark felt character could serious prone mistake would suited role better however amitabh bachchan portrayal ashwathama truly magnificent performance elevated film shining brighter bhairava character standout moment movie undoubtedly belonged ashwathama surprisingly second half film surpassed expectation packed heart pounding action sequence mystery surrounding true wielder bow complex story arc kept riveted throughout film truly shine earns acclaim way historical element seamlessly integrated futuristic context exceptionally well done kept engaged without ever feeling like history misused overplayed overall kalki started slow tedious redeemed end finishing strong surpassing initial expectation,neutral
74,kalki cinematic masterpiece seamlessly weave timeless tale mahabharata futuristic narrative creating thrilling thought provoking experience film clever adaptation ancient epic dystopian world testament ingenuity writer director movie visuals stunning blend traditional indian element futuristic technology creates unique captivating aesthetic special effect top notch bringing fantastical world life way breathtaking believable cast delivers outstanding performance actor bringing depth nuance character chemistry lead palpable making relationship conflict compelling truly set kalki apart however thought provoking theme symbolism film explores complex idea like duty morality nature good evil raising important question consequence action overall kalki must see fan science fiction mythology epic storytelling,positive
75,truly mixed bag mix many hollywood movie maker imagination good enough could refer existing movie wi originality original idea include reference mahabharat impressive prabhas performance boring generous many slo mo action scene cringe still worked extent better vfx comparison indian movie amitabh saved movie otherwise worth deepika looked clueless character probably needed add character review add junk,neutral
76,best indian movie ever ever clymax goosebump recommended movie indian blockbuster provide telugu movie good movie acting level peak especially amitabh bachchan prabhas acting next level amitabh bachchan sir prabhas rivalry goosebump fight scene coming kamal sir extraordinary acting may second part sir big enemy entire cinema coming visual effect graphic next level bgm good song okay prabhas comedy also good remaining charectors also give level best entire cinema good worth watch miss clymax kalki ad,positive
77,first half unwanted comedy sure chose prabhas prabhas become comedy piece comedy best part film acting amitabh deepika many actor film required movie feel like comedy serious mahabharata sequel cgi could much better feel like many scene way much stretched whole movie cut short prabhas dance step also worst sure overrated movie whole something watched theater ott platform seems overall one time watch movie,neutral
78,totally fake review posted movie super flop barely able complete watching entire movie dont know people misleading putting fake review prabhas try change role superhero every movie try actor one going fooled long also look physique bahubali day need good script good director want portrayed another bahubali version vfx cheap quality combo madmax hollywood sci fi movie impress indian get see grand version hollywood blockbuster,negative
79,want say upcoming movie kalki cinematic universe also hold grip like kalki ad definitely bring big change indian cinema hat director whole team like cameo storyline movie also engaging every character justifies long time seen movie like even blink eye second hope upcoming movie cinematic universe also maintain pace connection movie epic awesome every flash back scene amazing,positive
80,positive visuals world building detailing weapon costume vehicle art work top performance interval bang bgm movie introduction deepika padukone performance negative unnecessary cameo prabhas intro scene laggy average song worst song nd half conclusion one time watchable sure boring except place negative compensated movie could really good introduction cinematic universe done really great job kudos entire team finally movie help indian cinema make one step higher sure especially telugu cinema,positive
81,expectational time waster slow paced movie create another part rake money new trend crisp story line unnecessary romatism scene trying make comic light weight action movie failed using amazing concept good star cast join movie interval yet wont worth nothing new story telling regular story vfx movie less mad max fury road set combined lil bit transformer best part would mythological involvement involved characterization nothing else many resource wasted heinous rise ott shut film lie,negative
82,definitely kalki great watch get better representation hinduism medium mark word movie mark new era indian film industry kalki visual marvel epic proportion modern audience history sci fi action grandeur well designed package drama emotion entertainment fantastic beginning pre interval epic climax flipside mass may find tough follow time st half take little long take actual action begin pre interval last overall loved watch family,positive
83,best part movie adaptation representation mahabharat cinematic manner character son dhronacharya amit sir fitable mind say lead could play role ashwatthama much narrative story basic moreover fantastic mixture cgi indian epic may feel boring unnecessary first half go prabhas entry brain rotting eye damaging scene felt cringe enough skip cut star leading role prabhas role roxie ignorance required weapon morphology basic felt like starwar cardboard sheet anyway silly mistake improved next part,positive
84,kalki ad masterpiece seamlessly blending element mahabharata futuristic narrative movie groundbreaking film stand best indian movie well crafted script extraordinary visuals nagi masterfully combine hindu mythology futuristic setting creating unique captivating experience visual effect vfx par hollywood standard enhancing overall viewing experience concept script innovative performance prabhas amitabh bachchan exceptional adding depth story despite high expectation fan disappointment darling prabhas nagi smartly includes fan pleasing moment elevation maintaining carefully narrated story keep audience engaged without dull moment influence notable director rajamouli rgv dulquer vijay devarakonda evident adding special touch boost impact various scene conclusion kalki ad deserves perfect score film daring attempt nagi imagine grand epic movie perfect story extraordinary screenplay set new benchmark indian cinema combining mythology futuristic element stellar performance cohesive unforgettable experience,positive
85,first expression waou also yes want judge perspective one otherwise hollywood also everything smell yeah graphic could better look budget think budget paying shark prabhash best biggest negative point prabhash started getting bored whenever open mouth move body part whatever big super cool except young animated big sure shashwata okayish deepika also okayish overall cool,positive
86,movie started historian plot well known war opening visualisation beyond imagination indian people marvel level vfx great sound great stunt best screenplay well known bollywood actor main lead charchter prabhas aka bhairva got less screen time second half contribution second half stunning revealing true charchter relation history india amazing vfx fight remeber avenger endgame hr long story dosent satisfy indian audience credit also leaving behind mystery,positive
87,film kalki gone good initial first half goosy scene made work come prabhas entry scene workout well happened saaho bahubali story took much time conquer first half interval give u bit boost came second half good fight scene screenplay demanded lady cast revealance mystic thing climax good though overall handover good watch family twice music bgm disappointed bit low high scene,positive
88,go waste money theatre download watch home later story isse achha mahabharat dikha dete good point outstanding vfx animation amitabh bachhan deepika padukone made audience wake sleeping movie bad point whenever prabhas came screen irritating watch cringe comedy director could use actor best story proper illustration happening whole movie loved movie like ganpath craxx movie else waste time money,negative
89,great depiction ancient vedic text well represented modern form prediction kaliyuga really enjoyed movie hard western people decipher movie exactly based veda future world according vedic scripture yugas currently beginning phase th yuga might alive see movie depicts hoping next part movie really well written script epic cinematography south indian movie industry always accustomed watching hollywood might seem cringy movie stepping stone similar movie indian cinema industry people get used also soreads knowledge ancient text make sense present day lost touch reality way prove logically different era different rule understand yuga time hunan also different u like depicted ashwathamma human taller back understand time mean deny never happened proof like ancient saraswati river drying many proof obviously see live written text figure metaphorically movie depicted many thing similar sense relate modern time kaliyuga time amazing depiction ancient sanatan dharma scripture hat south indian cinema,positive
90,another film massive expectation year since theatrical release lot glowing review lot review bashed film arshad warsi fire saying prabhas like joker film dropped online watch feel like criticism unwarranted movie prabhas time think film mind blowing either film somewhere middle tying everything mahabharata phenomenal nag ashwin maker made ep show think love watch knew worldbuilding would praised good watched global film part outside mahabharata anything new well done fosho nothing mind blowing prabhas fine know people upset funny first half joker like get people would type cast hero either upset anything new upset whenever try anything new bruh know expression would made role come across better joker harsh would loved see abhishek bachchan young role ar sr phenomenal film carried entire film shoulder sure agree disha patani deepika anna ben actor care dialogue written way could tell people killed eventually happened come shock surprise kid fanboys film talked little much liking never fan using talkative kid comic relief remember imaikkaa nodigal kid hype scene like one teacher going kick as whatever kid say bruh met guy min ago teacher already asked fought convinced best fighter around whoever wrote dialogue luke bruh calm fanboying dialogue underwhelming music santhosh narayanan interesting choice good clearly making move hit miss lot place get ost sound design black panther head place well done really helped elevate scene classic rule worse villain bigger hero seems taken consideration much cmdr manas bruh evil yaskin fore scene even count villain ok necessarily help elevate hero new height maybe gon na saved part dialogue already hint towards going end could go overall kalki visually good nothing un familiar couple key character one deserve backlash imo necessarily carry entire film everybody else bleh world building around maharabharata interesting still watch part movie neither awesome bad somewhere middle,positive
91,movie torture method get secret would bailed costume lacking acting soundtrack much going seems like movie made indian cinema would futuristic sci fi movie done well gun movie looked like white cardboard made high schoolers acting bad exaggerated every character equally bad scene surprised getting worse every second movie look like made money made passion bad cinematography overall bad art,negative
92,kalki grand vision set director even though movie inspired various hollywood movie commendable director took inspiration used template indian audience story good blend sci fi mythology mahabharat screenplay uneven one major weak point movie movie could tight pacing also uneven run time could shortened minute direction good commendable job helming grand story performance average except amitabh bachchan commendable job overall good cinematic experience definitely give try,positive
93,amazing film lack aspect hope filmmaker consider issue next part spoiler,positive
94,kalki ad thought provoking visually stunning sci fi epic delf intricacy time travel artificial intelligence humanity existence set dystopian future film follows journey kalki brilliant scientist embarks perilous quest prevent catastrophic future film narrative expertly woven seamlessly blending action drama philosophy special effect breathtaking transporting viewer futuristic world neon lit city advanced technology cinematography equally impressive capturing stark contrast desolate future vibrant present cast delivers standout performance bringing depth nuance character lead actor shine kalki conveying sense vulnerability determination resonates deeply set kalki ad apart thought provoking exploration existential question film challenge viewer confront consequence playing time ethic ai development theme timely relevant making deeply unsettling yet fascinating watch overall kalki ad masterpiece science fiction storytelling boasting impressive visuals strong performance narrative linger long credit roll miss cinematic odyssey,positive
95,kalki ad cinematic review spoiler,positive
96,understand negative review really comparing hollywood madmax indian cinema beautifully connected mahabharata scifi actually brilliant people india never grow way behind cinema industry supporting movie vfx good movie brilliant writing good enough acting ya believe bairava character could written better still part people giving star nag aswin movie much dedication hope kalki bigger better,positive
97,good cinema spoiler,neutral
98,digestive close zero iq developer stake holder associated penalized line next generation wd lough may cry watching min clip movie start next min could bear worst clip ever came across girl dancing short skirt hero destroying whole universe one fist sub standard mindset coming level developer silver screen shame el say hopelessly imaginary lowest standard one stature even yr kid may lough,negative
99,well made review required movie complete must watch since beginning movie character built marvellous way story intervowen indian mythology taking future well done script writer background music compelling yes future character shown childish unnecessary comedy character could avoided actually recepie telugu movie ami ji beyond movie heart overall unique experience shall await second part movie must watch spectacle wherein indian cinema proved mettle vi vi hollywood,positive
100,movie heavily influenced several hollywood film like mad max black panther star war etc without quality substance main villain hilarious foolish dialogue written everywhere protagonist acting like joker dancing like bufoon even serious action sequence two type film one original duplicate without brain good example film earn money specialised audience major drawback lack originality quality entertainment satyajit ray truly said fairly backward audience,negative
